directory,path,filename,size_bytes,size_mb,opened,fps,frame_count,duration_s,width,height,resolution,aspect,codec,label,label_token,player,fps_unusual,short_lt_0p7s,long_gt_60s,zero_frames,dup_group,session_cluster,nearest_other_video,nearest_score,phash8
assets/videos/ShootingVideosDataset,c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Klay3ptshooting1.mp4,Klay3ptshooting1.mp4,627324,0.627,True,30.0,75,2.5,1280,720,1280x720,1.778,h264,None,,Klay,False,False,False,False,,,Klay3ptshooting3.mp4,0.0976,235a43e607de0ffa1a6a58d4adb15372f2e5e57a9f95bb0b7f16dbec98dd|235a43e607de0ffa1e6a50dcbdb15272f4e5e57a9f95bb0b7f16d9ed98df|225a43ee07de0ffa1e6a50dcb9b17272e4c5edfa9f95bb0a7f14c9e998df|025243e607df0fb63e6a51dcbbb17272e0c5e77a9f953b0aff15d9eb98df|225243ee07de0ffa3e6a50dcbbb17272e0c5a57a9f953b0aff15c9ef98df|225243ee07de0ff23e6a50d4bbb17272e0c5a77a9f957b0aff15c9ef98df|235243ee07de0ff23e6a50d4b9b17272e0c5a57abb917f0aff15d9ef98dd|235243ee07de0ff23e6a50dca9b17272e0e5a57abb957d0aff15d9ff98dd
assets/videos/ShootingVideosDataset,c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Klay3ptshooting3.mp4,Klay3ptshooting3.mp4,811745,0.812,True,30.0,75,2.5,1280,720,1280x720,1.778,h264,None,,Klay,False,False,False,False,,S8,Klay3ptshooting4.mp4,0.1482,f26efc89f937e227cc5698a5b0e321d691acaf59ceb72d4e5adc9df93b32|f36eec89f937e267c4d69825b16b22d6c5ac0b59b6b7294c52dc8df93bb2|f36eec89f937e267d4d69925b26b24d6c5ac9b59a4b7494e5ad88dfb3bb6|fb6eec99f937e247d4969925b26b24d6c9ac9359a4b7494e92d92dfb3bb2|fb6eec89f937f267d4869925f26b24d6c9ac935926b7494e92d92dfa3bb6|fb6eec89f937f267d4869925f26b24d6cdac1b59a6b34d4edad995fb3bb2|fb6fec89f937f267d4c698a5706b22d6c5ac0b5996b35d4ebadd55fabbb3|fb6fec89f937f237d466986570eb21c6d3ac2759ceb32d4e9add15bb3bb2
assets/videos/ShootingVideosDataset,c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Klay3ptshooting4.mp4,Klay3ptshooting4.mp4,750857,0.751,True,30.0,75,2.5,1280,720,1280x720,1.778,h264,None,,Klay,False,False,False,False,,S8,Stephcurryleftcourner3ptshooting3miss.mp4,0.1667,fb6fec99f937f237d466986570e321c6d3ac07598eb3294e52dc9db93b32|fb6fec99f937f267c4c698ad716322e6c5ac0b5994b3594eb2d9ddb9bb31|fb6fec99f937f267d486992d725324c6c5ac1b59a4b3494ed2d99dbb3bb6|fb6fec99f937f267f486992d327324c6c9ac1b59a4b3494e92d92dba3b36|fb2fec59f937f267f4869925725324c6d9ac2b5964b2c94d9adb2db23b26|fb6fecd9f937f267dc869925766324c6c99c3b5964b288cc99db3db23b2e|fb6fec99f937f267fc869925326324c6c99c1b59a4b348ced1d9a5b33b36|fb6fecd9f937f267dc869925326364c6c99c1b59b4b358ceb1d96db2bbb5
assets/videos/ShootingVideosDataset,c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Klaythompsonpracticeshooting.mp4,Klaythompsonpracticeshooting.mp4,952887,0.953,True,30.0,126,4.2,1280,720,1280x720,1.778,h264,None,,Klaythompson,False,False,False,False,,,Couch2rightcourner3ptshooting2_jumpshoot.mp4,0.0501,3fe47ffaff33fa67f7dfe3fd65fb83ff6ffe6ffeffd5edfbb7778f4f58ce|3fe47ffbff33fa67f7dfe3fd41fb83ff2ffe6ffcffd5fdebb777af4f598e|3fe47ffbff33f967f3ffa3fde1ff03feafff6ffeffd5ffeba337ad4e59ce|3fe47ffbff33fa67f3dfc3fd45fb8bffbffe6ffcff51fff3b367af4e598e|c6f22c445fc9af915f23b6f7ed9fcb3f9fffadeb0bde57fcbff37fe6ffcf|236265faafe61c0421d1bf937f23f7e7e83fd23f9c7ea9fd03da35fc4ffb|334d67f9aff338061dd1bf917f23f633ec0fc81fdeff896b13da33fc7ff9|337d67f9efc338004fd1bf917f23f637e80fd21f9ffd89eb1b5e37fe7f79
assets/videos/ShootingVideosDataset,c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\LethalShooterRightCourner3ptshooting1.mp4,LethalShooterRightCourner3ptshooting1.mp4,561633,0.562,True,30.0,69,2.3,404,720,404x720,0.561,h264,None,,LethalShooter,False,False,False,False,,,Stephcurryleftcourner3ptshooting3miss.mp4,0.1006,0001c0024007803e0818812f100e48821bf0234663818d2a1e582346363c|0001a0034007c09e801d5197b00f4cc319f873a4d140c7a40f7843633b1a|0001c0026007c086180c50df94070c411df8238251e192950f2c03211b1e|0801a0012007c04f040e615b1047aea11df82980cda0ca960e2c23a11b8f|0801e0032007c04f442e605b8007ae610df839d16da0cad216ae23b15b8d|0801e0032007c04b442e20db8427aea10df819d04da0dad6162c23a01b0d|0001e0032007c04f002e615b84878aa107f80f90a9e04a951e2c03211b1f|0001e0022007c04e000c60df84a706a147fc0fb0a9c0d1950c2c07231b1e
assets/videos/ShootingVideosDataset,c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Lethalshooterpractice3ptshooting.mp4,Lethalshooterpractice3ptshooting.mp4,405913,0.406,True,30.0,97,3.233,1280,720,1280x720,1.778,h264,None,,LethalShooter,False,False,False,False,,S9,Screen Recording 2026-08-14 011122.mp4,0.0908,2bfb501f300e730ce619ccb3b97570ecc3d187ab0f5420ef9f183a54fcb1|3bfb501f300e730ce6199cb37976d0edc1d907a6074410cf9f103a747cf0|2bff501f300e730cd619bcb37976f0ecc1d103a607cc109fdf303a747cf0|3bff501f300e730ce619ccb33976f0ecc1d103a607cc108fdf303a747cf0|3bff501f300e730ce619ccb3b97570ecc1d983a307c620af9f583a347cf0|3bff501f300e730ce619ccb3b97570ecc1d183ab07d610afdf583ab47d70|3bfb501f300e730ce619ccb3b97370e4c1c983a207c400afdf103ab47c70|3bff501f300e730ce619ccb31976f0e9c3c9838e07cc009f9f303a747c70
assets/videos/ShootingVideosDataset,c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Lethalshooterpractice3ptshooting2.mp4,Lethalshooterpractice3ptshooting2.mp4,239084,0.239,True,30.0,75,2.5,1280,720,1280x720,1.778,h264,None,,LethalShooter,False,False,False,False,,,video9.mov,0.0988,c3db1403ed81d7134e279c4f389cb1bd237c42c480090ff3b92f2c5cdf25|c3db9403ed81d7134e279c4f189cb3b8637442c480090ff3b92f2c5cde25|c3db1403ed81d31346278c4f189cb1ba6374c2c5800b0fd7b9af2c54dca5|c3db1403ed81d7134e278c4f189cb1ba6374c2d5800b0fd7b9ab2c5cdd25|c3db1403ed81d7134e279c4f089c91be6374c2c5800b0fd7b9af2c5cdd25|c3db1403ed81d7134e279c4f289c91be237442c480090fd3b9af2c5cdd25|c3db1403ed81d7130e279c4f289d11be337462e4c0090fdbb9a72c4cdd15|c3db1403ed81d7134e279c4f288d11ba337c62c4c0098ffbb9a72c4cdf0d
assets/videos/ShootingVideosDataset,c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Lethalshooterpracticeshooting.mp4,Lethalshooterpracticeshooting.mp4,398992,0.399,True,30.0,99,3.3,1280,720,1280x720,1.778,h264,None,,LethalShooter,False,False,False,False,,S9,video8.mov,0.0925,2bf4503f300c7308c6198cb11960b0c5cbcb17260ecc201f9f387a647cf0|2bf4503f300c7308c6198cb31964b0c943c207040e88205f9e6038e479f0|2bf4503f300c7308c6198cb31961b0cb11d203940688001f9e6038c479b0|2bf4503f380c5308e6194cb2d961b0c941c2038c0698003f9e6038c479b0|2bf4503f300c7308c6198cb31964b0c941c2038c0698003f9e6038c479b0|27f4503f300c730cc6198cb31964b0cdc1c303860688205f9e2038e479f0|2bf4503f300c730cc6198cb31962b0cdc3cb07960eac00579eb039647af0|2bf4503f300c730cc6198cb31962b0c943d387940ea8205f9e3079647af0
assets/videos/ShootingVideosDataset,c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Mikedunn3ptshooting3.mp4,Mikedunn3ptshooting3.mp4,367271,0.367,True,30.0,75,2.5,1280,720,1280x720,1.778,h264,None,,Mikedunn,False,False,False,False,D7_mikedunn,,Screen Recording 2026-08-14 013820.mp4,0.3691,b98935312ce56952d4d3a666d85e04ee699682f907d20b9496a62b285698|b98935312ce56952d4d3a666d85e04ee69d682f907d20b9494a62b285698|b98935712ce56952d4d3a666d85e04ee69d6827907d20b9496a62b285698|b98935712ce56952d4d3a666d85e04ee69f6827907d20a9496a62b285698|b98935712ce56952d4d3a666d85e04ee69d682f907d20a9486a62b285698|b98935712ce56952d4d3a666d85e04ee69d682f907d20a9486a62b285698|b98935712ce56952d4d3a666d85e04ee69d682f907d20a9494a62b285698|b98935712ce56952d4d3a666d85e04ee69d682f905d20a9494a62b285698
assets/videos/ShootingVideosDataset,c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Salahairballtest.mp4,Salahairballtest.mp4,1710063,1.71,True,30.0,212,7.067,1280,720,1280x720,1.778,h264,None,,Salah,False,False,False,False,D3_salah,S5,salah_video.mp4,0.9804,00d805c81a903d2050212804b0a850d991ab2764dae49dd97f780e111c28|00d805c81a90392050212804b0a850d991ab27649ae49dd97f780a011c28|00d005c816905d28d021280430a950d991ab2764dae49dd977780a011c08|00d005c8169039285021280570a850d9912b2764dae495d9777c0a011e28|10d006481b905924d021500538a850d9912b2764dae495d97f782a091c08|00d005c81a905d24e021580530a850d991ab2764dae495597b7c2e01dc20|00d005c81990592450215004b0aa50d991aa6764dae895f97f3812614668|10d005c815905d20b021280470a950d995ab2b64dae4a5d95f7c5200c428
assets/videos/ShootingVideosDataset,c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Stephcurryleftcourner3ptshooting1.mp4,Stephcurryleftcourner3ptshooting1.mp4,889725,0.89,True,30.0,77,2.567,1280,720,1280x720,1.778,h264,None,,Stephcurry,False,False,False,False,,S4,Stephcurryleftcourner3ptshooting3miss.mp4,0.0974,b2b438fd6dea115766e5cdaf4b86955d093a5b25b4f27750d625b6933857|595a145ea4f308a32160e5c7e287aacecd9d1b9a197137a85625da9b5d26|594a9c7fa6f318b1b3aae1d7a297ea6e8cdd19ceb9f07fa0ee05ce9b6c46|595abc5d16eb0873b2a8e5d7e383476e8ccd199a287877a4ae15de9b4c24|5918a83d127b8491b1a8e5d7e31345ee8ecd198a327875a0ae11dc9bec25|591aac3d127b8491b0e8f1d7e353c56e8ecd1d86ba7877a4ae15ce99ec26|590aae7d927b1c91b36af2d7e517c97e96dd0dce98f43fa46e04ce9aec25|591ca83d127b8491b1a0f253e4d3d5eea2cd058aca7895a12e144e99ec29
assets/videos/ShootingVideosDataset,c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Stephcurryleftcourner3ptshooting3miss.mp4,Stephcurryleftcourner3ptshooting3miss.mp4,825931,0.826,True,30.0,77,2.567,1280,720,1280x720,1.778,h264,None,,Stephcurry,False,False,False,False,,S4,Klay3ptshooting4.mp4,0.1667,5c16a93d826b9cd1b069f097e1c7537e84ed09ae1af437a86644ee99a44b|5c16a93d926b9cd0b0c9f195e2e7557e8ced09be18fc37ac6645e6dba406|5c16293d926b9cd1b0c5f191e1e7d5ae8d6d98ae34f85faca6c5e69aa486|5c16aa3d922b9c51b0c1f193e3d7d5be8d6d98ee34f85faca691ee92a48c|5c16aa3d926b9c51b0c9f193e5d7d5de8dad38ee70fcdfa9a603ee92ad0c|5c16aa3d926b9c51b0e9f191e393c5de8cbd39ee78f4dda9a643ee92ed8c|5c16a93d926b9cd1b0c9f195e2d3d5ee8dfd18ae38f45fa8a641ee92248c|5c162b35924b9c51b129f2d5e1d3d3ee87dd0cae1cfc3fa8e6c4ee99a406
assets/videos/ShootingVideosDataset,c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Stephcurryleftcourner3ptshooting4miss.mp4,Stephcurryleftcourner3ptshooting4miss.mp4,926854,0.927,True,30.0,76,2.533,1280,720,1280x720,1.778,h264,None,,Stephcurry,False,False,False,False,,S4,Stephcurryleftcourner3ptshooting5.mp4,0.0968,527ba45710bb33a9f546c727e2fe84dd0dce9df437bacca48e116c9ae733|aa3d526bc4d19170f0f3e193d32f86dfafdf5b3c3dd86e16c605a6d36695|0a3c1a79845991b072ebf1d3d157c6ceadc75d383dd45e12c685f6d2361e|5c2e927ba45991b1b26af5d6e707c6fe8ddd5dbc3cf47f16eec5eed3260e|582e127ba45b19b1326bf4d6c507e2fe8fd55fdebcf47f12ee44eed16c06|b82e527ba4d318b33369e6c6c527aaff85d74d8e9df03f924e44ce916c06|982e527ba45310b13369e6c6c507abff87d74d3cddf0bf126e44ee91ec89|a82e527aa4d190b1f369e6c6c587a9ff83d3653cd9f4bf132e456e94ec89
assets/videos/ShootingVideosDataset,c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Stephcurryleftcourner3ptshooting5.mp4,Stephcurryleftcourner3ptshooting5.mp4,982017,0.982,True,30.0,92,3.067,1280,720,1280x720,1.778,h264,None,,Stephcurry,False,False,False,False,,S4,Klay3ptshooting3.mp4,0.1096,5f3ecb2d8c48d9b0796bf357ecdec1dd93c3667c4fdc171372a452d49b5a|5f3ecb2d8c48d9b4794bf0c1e9fec37b96c76d7c5fccb71372a4dad59b5a|5f3ecb2d8c48d9b4784bf1d1e9fec33d86c74d7c3fcc7712d2a4dad11b5a|5d3ecb2d8c28d97478cbf1d9e3dfc6ddae675c7c2fdc5702d2a5dad31bd6|5d3ecb2d8c58d9357849f1d9e9eec2dd8cb71c7c2ecc57d2f3e5dad31b56|54bac925ce68d9b4f96af0cdedf6c3ed96570c7c1bcc32d333a45ad1d958|551ac934e668d8907988f16deaf6c1ed925f243c4bcc13d153849ad559d8|553ac925ce68d9c07988f14deef6c8ed905f203c47cc175153a51ad65bd8
assets/videos/ShootingVideosDataset,c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Stephcurryleftwing3ptshooting1_jumpshoot.mp4,Stephcurryleftwing3ptshooting1_jumpshoot.mp4,896285,0.896,True,30.0,77,2.567,1280,720,1280x720,1.778,h264,jump_shot,jumpshoot,Stephcurry,False,False,False,False,,S4,Klay3ptshooting3.mp4,0.0405,9152505ea4f708a32160e767cea7894f525e15beea9993f13625bad6be8d|b952505f24f709a36350e7efcdc78b4f46962dbedef9b3626e257a9cbd1b|b2a470ad6de209576261cdefdd0f9b9f252c2b1d953327e67645f099fd12|d1561856a4f309a32170e6c7cca78d8f55962f9ede79bba37625fa9cbd12|5952185ea4f308a32130e6d7cca78b8f57962f9ece79bba27625fa9cbd12|5176bab624f949e331436677cd8f8d0f559627ac0ebd93e37665fadcbd13|5176b2b420fb4de331636657cdcf8d8f579e27ae2ebd9be33665fadcbd13|5176329620ff49e3314346f7cf878d4f55be272caebd93e33625fadcbd13
assets/videos/ShootingVideosDataset,c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Stephcurryleftwing3ptshooting6_jumpshoot.mp4,Stephcurryleftwing3ptshooting6_jumpshoot.mp4,885220,0.885,True,24.0,78,3.25,998,720,998x720,1.386,h264,jump_shot,jumpshoot,Stephcurry,False,False,False,False,,S10,Stephcurryleftwing3ptshooting7_jumpshoot.mp4,0.1747,f88121138e27644dec169081117a00d4816902d68530026404681cd04982|f8812113ce2764458c169080117a00d4016842d6853c126424e81d904bc6|f8812113ce2764458c169080917a20d4016802cc852c026424e81d904b42|f8812113ee274405cc169880017822d4016802de052c0e6404e81d904942|f8812113ce274405c8169880e17a22d40168029e052c0e6404e81d904b42|f8812103ce07440588169880e17a22d4016802d2052c0e6404e81d904b42|f8812103ce076406c8169881c17a22d401680296052c0e6404e819904b42|f8812103ce076406c8169881c17a22d4016802c6053c0e6404681c904942
assets/videos/ShootingVideosDataset,c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Stephcurryleftwing3ptshooting7_jumpshoot.mp4,Stephcurryleftwing3ptshooting7_jumpshoot.mp4,877662,0.878,True,24.0,75,3.125,982,720,982x720,1.364,h264,jump_shot,jumpshoot,Stephcurry,False,False,False,False,,S10,Stephcurryleftwing3ptshooting6_jumpshoot.mp4,0.1747,f8892113ce23644d6816888061fa90f4016842c6852c7a6024e419d069c2|f8892113ce27644d7816c88061fa10f40168428e8dbc1a6024e45cd068c2|f8892113ce2724453816488061f810f4014c428a8dbc3b6064e44d406ac2|f8892113ce232445b8164884e1f810f401cc429a85bc1b6026e44d4068c2|f8892113ce23244538164880e1f810d401ac035a85ac0a6024e40d486ac2|f8892113ce234445b8164880e1fc10d401a802e285b40b6026640cc868c2|f8892113ce232445b8164880e17c10d601ac03d2859c0b2006640cc869c2|f8892113ce230446b8164800e17a10d601ac0352059c0b3006640c4868c0
assets/videos/ShootingVideosDataset,c:\Users\karim\Desktop\Swichy\assets\videos\ShootingVideosDataset\Stephcurryleftwing3ptshooting_jumpshoot5.mp4,Stephcurryleftwing3ptshooting_jumpshoot5.mp4,957579,0.958,True,24.0,76,3.167,1000,720,1000x720,1.389,h264,jump_shot,jumpshoot5,Stephcurry,False,False,False,False,,,Stephcurryleftwing3ptshooting6_jumpshoot.mp4,0.0826,f881a103ce27640f7812b088117a00f6016400ea05180ab006681c506882|f881a103ce27640b4812b080117a00f6016c00d605580ab404681c506882|f88121038e27640b4812b080117a00f5016c02d605580ab406681cd06982|f88121138e27640bc812b088117c00f6016c02de055002a406681cd06882|f88131138e27640b4812b088117a00f6014c028e0590036404681cd068a2|f8812113ae27644b0812b088117a00e4015802b605b8036404681cd068a2|f88121138e27640f4812b08c117a00e4015802a605b0036404e81cd069a2|f88121138e27640d4c12b08d117200e4014802d605b0026404e81cd049a2
assets/videos/training,c:\Users\karim\Desktop\Swichy\assets\videos\training\Screen Recording 2026-05-25 142320.mp4,Screen Recording 2026-05-25 142320.mp4,1530561,1.531,True,30.0,295,9.833,426,566,426x566,0.753,h264,None,,screen_recording,False,False,False,False,,,Couchshooting1.mp4,0.0622,1d19327045713853b134a94914eb45d63af82d56dacdc3ef11205ca05930|3ea2a5e50acde09ee4b544e66a961c98bcadb968f19baf8c6640d080a081|7e6eedc62bc538bbc5bdcd266b6c4eb8b4a97959b3d2e5275f70ccc1a485|fe0ce8c08b8728b9c1bdad24496ae72cacb4d9cd72d2e7345f59c8c3a207|7cceeac92b87293945f9ad8c5b2ea64cac71da9171b66a24de70ea83a203|7cdec8c913876937417b898f55642e48ed529aa967174a34dd70ea83e80b|5c99ea8817865177837b8a0d5172aa69ede2fa93756749c6bcf1ca43c107|7cdecac815867137c37b890d55d2b991eba292d1a4e67bd0f5f1e203e103
assets/videos/training,c:\Users\karim\Desktop\Swichy\assets\videos\training\Screen Recording 2026-08-14 004129.mp4,Screen Recording 2026-08-14 004129.mp4,4898476,4.898,True,30.0,129,4.3,1920,1080,1920x1080,1.778,h264,None,,screen_recording,False,False,False,False,D1_video8_session_cuts,S1,video8_shot05_set.mp4,0.6325,3153a5ed68a35a81a61209948426e81c91e503eb07d803b10b6c3b5024a0|3153a5ed68a35a81a61209948426e81c91e503eb07d803b10b6c3b5024a0|3153a5ed68a35a81a6120994c426e81c91e503eb07d802b10b2c3b5124a0|3153a5ed68a35a81a61209948426e81c91e503eb07d803b10b6c3b5124a0|3153a5ed68a35a81a6120994c426e81c91e503eb07d802910bac3b5124a0|3153a5ed68a35a81a6120994c426e80c91a503eb07d402b10b6c3b5024a0|3153a5ed68a35a81a6120994c426e80c91a503eb07d402b10b6c3b5024a0|3153a5ed68a35a81a6120994c426e80c91a503eb07d402b10b6c3b5125a0
assets/videos/training,c:\Users\karim\Desktop\Swichy\assets\videos\training\Screen Recording 2026-08-14 004215.mp4,Screen Recording 2026-08-14 004215.mp4,3516426,3.516,True,30.0,107,3.567,1920,1080,1920x1080,1.778,h264,None,,screen_recording,False,False,False,False,D1_video8_session_cuts,S1,Screen Recording 2026-08-14 005503.mp4,0.4668,3153a5ed68a35a81a6120994c426e81c91e503eb07d402b10b6c3a5025a0|3153a5ed68a35281a61209948426e81c91e503eb07d402b10b6c3b5025a1|3153a5ed68a35a81a61209948426e81c91a503eb07d402b10b6c3b5024a1|3153a5ed68a35a81a61209948426e81c91a503eb07d403b10b6c3b5024a1|3153a5ed68a35a81a61209948426e81c91a503ef07dc03910bac3b5024a1|3153a5ed68a35a81a61209948426681e91a903f707cc03910bac3b5024a1|3153a5ed68a35a81a61209948426681e91a903f707cc02910bac3b5024a1|3353a5ed68a35a81a61209948426681e91a903f707cc02910bac3b5124a0
assets/videos/training,c:\Users\karim\Desktop\Swichy\assets\videos\training\Screen Recording 2026-08-14 004832.mp4,Screen Recording 2026-08-14 004832.mp4,5607490,5.607,True,30.0,144,4.8,1920,1080,1920x1080,1.778,h264,None,,screen_recording,False,False,False,False,,S1,video8.mov,0.3728,3152a5ed68a35a81a61209948422e81891e903d3073403410aac3b5024a0|3152a5ed68a35a81a612099c8424e85891a903d3073403410aac3b5024a1|3152a5ed68a35a81a612099c8426e850919903b3075402c109ac3b5024a1|3152a5ed68a35a81a616099c8426e898913905fb03d407c10bac1b5025a0|3152a5ed68a35a81a616099c8426e898913905fb03d407c10bac1b5025a0|3152a5ed68a35a81a616099c8426e898913905fb03d407c10bac1b5025a0|3152a5ed68a35a81a616099c8426e898913905fb03d407c10bac1b5025a0|3152a5ed68a35a81a616099c8426e898913905fb03d407c10bac1b5125a0
assets/videos/training,c:\Users\karim\Desktop\Swichy\assets\videos\training\Screen Recording 2026-08-14 005322.mp4,Screen Recording 2026-08-14 005322.mp4,3697670,3.698,True,30.0,107,3.567,1920,1080,1920x1080,1.778,h264,None,,screen_recording,False,False,False,False,D1_video8_session_cuts,S1,video8.mov,0.4533,3153a5ed68a35a81a6120994c426e81ad1ed02f307ce03c90bac3b5034a0|3153a5ed68a35a81a61209948426681ad1e903f707ce03d90bac3b5034a0|3153a5ed68a35b81a6120994c426e81bd1a903f307c603c90bac3b5034a0|3153a5ed68a35a81a6120994c426e81b51b902fb07c603c10b842b5124a0|3153a5ed68a35a81a6120994c426e81ad1a903f707ce03d90ba42b5034a0|3153a5ed68a35a81a6120994c426e81ad1ad03f707ce03c90bac3b5034a0|3153a5ed68a35a81a6120994c426e81ad1fd03f707ce03c90ba43b5024a0|3353a5ed68a35a81a6120994c426e81ad1fd03f707ce03c90ba43b5124a0
assets/videos/training,c:\Users\karim\Desktop\Swichy\assets\videos\training\Screen Recording 2026-08-14 005350.mp4,Screen Recording 2026-08-14 005350.mp4,6062115,6.062,True,30.0,153,5.1,1920,1080,1920x1080,1.778,h264,None,,screen_recording,False,False,False,False,D1_video8_session_cuts,S1,Screen Recording 2026-08-14 005414.mp4,0.461,3153a5ed68a35a81a6120994c426e81ad1ed03f707ce03c90bac3b5124a0|3153a5ed68a35a81a6120994c426e81ad1ed03f707ce03c90bac3b5024a0|3153a5ed68a35a81a6120994c426e81ad1bd03f707ce03c90ba43b5024a0|3153a5ed68a35a81a61209948426e81ad1e902f707ce03d90bac3b5024a0|3153a5ed68a35a81a6120994c426e81a91fb03f707ce03d90ba42b5024a0|3153a5ed68a35a81a6120994c426e81911e902f307c603c90b8c3b5024a0|3153a5ed68a35a81a6120994c426681a91e903f707cc03d10bac3b5024a0|3153a5ed68a35a81a6120994c426681a91e903f707cc03d10bac3b5024a0
assets/videos/training,c:\Users\karim\Desktop\Swichy\assets\videos\training\Screen Recording 2026-08-14 005414.mp4,Screen Recording 2026-08-14 005414.mp4,3467676,3.468,True,30.0,102,3.4,1920,1080,1920x1080,1.778,h264,None,,screen_recording,False,False,False,False,D1_video8_session_cuts,S1,Screen Recording 2026-08-14 005350.mp4,0.461,3153a5ed68a35a81a61209944426681a91eb02f707cc03910bac3b5024a0|3153a5ed68a35a81a6120994c426681a91eb03f707cc03910bac3b5024a0|3153a5ed68a35a81a6120994c426681a91eb03f707cc03910bac3b5024a0|3153a5ed68a35a81a6120994c026681a91eb03f707c403d10bac3b5024a0|3153a5ed68a35a81a6120994c426e81b11e903f307c603c90b8c3b5024a0|3153a5ed68a35a81a6120994c426e81911e903f307c603c90b8c3b5024a0|3153a5ed68a35a81a6120994c426e81911e903f307c603c90b8c3b5024a0|3153a5ed68a35a81a6120994c426e81911e903f307c603c90b8c3b5124a0
assets/videos/training,c:\Users\karim\Desktop\Swichy\assets\videos\training\Screen Recording 2026-08-14 005440.mp4,Screen Recording 2026-08-14 005440.mp4,4427501,4.428,True,30.0,119,3.967,1920,1080,1920x1080,1.778,h264,None,,screen_recording,False,False,False,False,D1_video8_session_cuts,S1,video8.mov,0.5216,3153a5ed68a35a81a61209944426680a91fb03f707cc03910bac3b5024a0|3153a5ed68a35a81a6120994c427680e91fb03e707cc03910bac3b5024a0|3153a5ed68a35a81a6120994c426680e91fb03f707cc03910bac3b5024a0|3153a5ed68a35281a6120994c426680a91eb03f707cc03d10bac2b5024a0|3153a5ed68a35a81a61209948426e80c91e503eb07d803b10b6c3b5024a0|3153a5ed68a35a81a61209948426e81c91e503eb07d803b10b6c3b5024a0|3153a4ed68a35a81a61209948426e81c91e503eb07d803b10b6c3b5024a0|3153a4ed68a35a81a61209948426e81c91e503eb07d803b10b6c3b5124a0
assets/videos/training,c:\Users\karim\Desktop\Swichy\assets\videos\training\Screen Recording 2026-08-14 005503.mp4,Screen Recording 2026-08-14 005503.mp4,3379042,3.379,True,30.0,91,3.033,1920,1080,1920x1080,1.778,h264,None,,screen_recording,False,False,False,False,D1_video8_session_cuts,S1,video8.mov,0.5447,3153a5ed68a35a81861209948426e80c91f503eb07d002b10b6c3b5024a0|3153a5ed68a35a81a61209948426e81c91f503eb07d402b10b6c3b5024a0|3153a5ed68a35a81a61209948426e81c91f503eb07d402910b6c3b5024a0|3153a5ed68a35a81a61209948426e81c91f503ef07dc02910b2c3b5024a0|3153a5ed68a35a81a61209948426681491e503ef07dc03910bac3b5024a1|3153a5ed68a35a81a61209948426e80c91e503eb07d403b10b2c3b5024a1|3153a5ed68a35a81a61209948426e81491e503eb07dc03b10b2c3b5024a1|3353a5ed68a35a81a61209948426e81491e503eb07dc03b10b2c3b5125a0
assets/videos/training,c:\Users\karim\Desktop\Swichy\assets\videos\training\Screen Recording 2026-08-14 005520.mp4,Screen Recording 2026-08-14 005520.mp4,3437027,3.437,True,30.0,101,3.367,1920,1080,1920x1080,1.778,h264,None,,screen_recording,False,False,False,False,D1_video8_session_cuts,S1,Screen Recording 2026-08-14 004215.mp4,0.458,3153a5ed68a35a81961209948424e81c91e503eb07d402b10b6c3a5025a1|3153a5ed68a35a81a61209948426e81c91a503eb07d402b10b6c3a5025a1|3153a5ed68a35a81a61209948426e81c91b503eb07d403b10b6c3b5024a1|3153a5ed68a35a81a61209948426e81c91a503ef07dc03b10b6c3b5024a1|3153a5ed68a35a81a61209948426681e91a903f707cc03910bac3b5024a1|3153a5ed68a35a81a61209948426681e91a903f707cc02910bac3b5024a1|3153a5ed68a35a81a61209948426681e91a903f707cc02910bac3b5024a1|3153a5ed68a35a81a61209948426681e91a903f707cc02910bac3b5124a0
